Reg,Pair,Manag,Loc,Land,Fert,Beta,X,Y
1,1,conv,centre,74,120,4.3,3564720.237,5707152.411
1,1,org,centre,69.1,60,8.2,3564271.341,5707387.052
1,2,conv,centre,42.5,200,8.5,3567011.191,5716316.416
1,2,org,centre,43.2,140,12.9,3567250.582,5716585.268
1,3,conv,centre,74.1,150,8.2,3561890.845,5726658.281
1,3,org,centre,64.5,130,16.1,3562432.713,5726438.147
1,4,conv,centre,50.1,180,9.4,3555427.379,5729204.246
1,4,org,centre,43.7,90,11.8,3554577.73,5729308.285
1,5,conv,centre,49.7,130,1.9,3556099.633,5719918.8
1,5,org,centre,52.4,90,15,3555522.953,5719551.827
1,6,conv,centre,74.8,150,2,3580131.521,5720159.501
1,6,org,centre,64.8,150,11.4,3579438.914,5720120.142
1,7,conv,centre,69,130,3.8,3576735.11,5714164.213
1,7,org,centre,58.1,160,8.1,3576711.713,5714628.325
2,1,conv,centre,45.5,110,7.7,3453926.685,5707184.75
2,1,org,centre,53.9,140,8.3,3453910.399,5707489.772
2,2,conv,centre,68.3,170,1,3449300.488,5710476.687
2,2,org,centre,65,110,8.4,3449095.251,5710734.144
2,3,conv,centre,51.4,100,8.6,3440754.021,5710110.787
2,3,org,centre,54.4,120,11.3,3440415.573,5710013.138
2,4,conv,centre,51.1,120,3.4,3424916.719,5712056.505
2,4,org,centre,51.6,120,7.7,3425041.47,5712032.442
2,5,conv,centre,64.6,140,0.8,3430250.235,5724522.86
2,5,org,centre,63.7,130,8.7,3430037.31,5724645.553
2,6,conv,centre,60.3,150,5,3435745.991,5721653.044
2,6,org,centre,61.5,150,13.1,3435895.99,5721590.578
2,7,conv,centre,65.7,120,5.1,3444520.617,5717797.786
2,7,org,centre,75.2,120,8,3444814,5718301.995
3,1,conv,centre,59.4,140,7.4,3488295.62,5629323.384
3,1,org,centre,62,130,11.4,3488385.196,5629201.818
3,2,conv,centre,65.1,190,5.1,3489198.34,5625675.569
3,2,org,centre,74.9,80,11.5,3488977.73,5626053.28
3,3,conv,centre,56.1,120,2.9,3480931.954,5623849.36
3,3,org,centre,57.8,80,10.3,3480889.325,5623754.107
3,4,conv,centre,42.6,180,12.4,3473254.411,5624088.602
3,4,org,centre,41.7,100,14.5,3473215.043,5624125.597
3,5,conv,centre,39.8,150,12.3,3470607.497,5628371.553
3,5,org,centre,39.4,60,15.5,3470464.622,5628532.949
3,6,conv,centre,38.8,170,8.1,3464004.559,5629345.883
3,6,org,centre,38.3,150,14.4,3463390.724,5629435.842
3,7,conv,centre,27,170,8.7,3450169.06,5605947.829
3,7,org,centre,27.1,100,10.5,3450340.163,5606143.375
1,1,conv,edge,74,120,10.9,3564730.237,5707162.411
1,1,org,edge,69.1,60,13.4,3564281.341,5707397.052
1,2,conv,edge,42.5,200,10.9,3567021.191,5716326.416
1,2,org,edge,43.2,140,18.7,3567260.582,5716595.268
1,3,conv,edge,74.1,150,10.5,3561900.845,5726668.281
1,3,org,edge,64.5,130,16.5,3562442.713,5726448.147
1,4,conv,edge,50.1,180,9.3,3555437.379,5729214.246
1,4,org,edge,43.7,90,15.5,3554587.73,5729318.285
1,5,conv,edge,49.7,130,15.2,3556109.633,5719928.8
1,5,org,edge,52.4,90,22.6,3555532.953,5719561.827
1,6,conv,edge,74.8,150,14.8,3580141.521,5720169.501
1,6,org,edge,64.8,150,16.8,3579448.914,5720130.142
1,7,conv,edge,69,130,14,3576745.11,5714174.213
1,7,org,edge,58.1,160,18.1,3576721.713,5714638.325
2,1,conv,edge,45.5,110,17.1,3453936.685,5707194.75
2,1,org,edge,53.9,140,16.6,3453920.399,5707499.772
2,2,conv,edge,68.3,170,8.5,3449310.488,5710486.687
2,2,org,edge,65,110,15.5,3449105.251,5710744.144
2,3,conv,edge,51.4,100,5.5,3440764.021,5710120.787
2,3,org,edge,54.4,120,13.3,3440425.573,5710023.138
2,4,conv,edge,51.1,120,11.9,3424926.719,5712066.505
2,4,org,edge,51.6,120,14.3,3425051.47,5712042.442
2,5,conv,edge,64.6,140,11.9,3430260.235,5724532.86
2,5,org,edge,63.7,130,16.5,3430047.31,5724655.553
2,6,conv,edge,60.3,150,9.9,3435755.991,5721663.044
2,6,org,edge,61.5,150,17.9,3435905.99,5721600.578
2,7,conv,edge,65.7,120,6.6,3444530.617,5717807.786
2,7,org,edge,75.2,120,12.4,3444824,5718311.995
3,1,conv,edge,59.4,140,7.2,3488305.62,5629333.384
3,1,org,edge,62,130,18.9,3488395.196,5629211.818
3,2,conv,edge,65.1,190,7.5,3489208.34,5625685.569
3,2,org,edge,74.9,80,14.7,3488987.73,5626063.28
3,3,conv,edge,56.1,120,10.6,3480941.954,5623859.36
3,3,org,edge,57.8,80,13.8,3480899.325,5623764.107
3,4,conv,edge,42.6,180,16.6,3473264.411,5624098.602
3,4,org,edge,41.7,100,20.6,3473225.043,5624135.597
3,5,conv,edge,39.8,150,12.9,3470617.497,5628381.553
3,5,org,edge,39.4,60,16.3,3470474.622,5628542.949
3,6,conv,edge,38.8,170,14.3,3464014.559,5629355.883
3,6,org,edge,38.3,150,21.6,3463400.724,5629445.842
3,7,conv,edge,27,170,15.4,3450179.06,5605957.829
3,7,org,edge,27.1,100,17.3,3450350.163,5606153.375
